iter	Passed	Remaining
0	1	125
1	2	112
2	3	103
3	4	100
4	5	98
5	6	97
6	7	95
7	8	93
8	9	92
9	10	90
10	11	89
11	11	87
12	12	86
13	13	85
14	14	84
15	15	83
16	17	83
17	18	82
18	19	81
19	19	79
20	20	78
21	21	77
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	43	54
44	44	53
45	44	52
46	45	51
47	48	52
48	54	57
49	56	56
50	57	55
51	58	54
52	60	53
53	61	52
54	62	50
55	62	49
56	64	48
57	65	47
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	37
66	76	37
67	78	37
68	81	36
69	83	35
70	86	35
71	87	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	102	18
85	104	17
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	119	1
99	121	0
