iter	Passed	Remaining
0	168	168725
1	177	88454
2	189	63041
3	203	50558
4	208	41445
5	211	35028
6	214	30367
7	216	26832
8	220	24262
9	222	22052
10	224	20199
11	226	18686
12	228	17362
13	230	16226
14	232	15259
15	234	14420
16	235	13639
17	237	12946
18	238	12326
19	239	11759
20	241	11247
21	242	10778
22	243	10360
23	245	9965
24	246	9630
25	248	9319
26	250	9020
27	251	8736
28	253	8472
29	254	8228
30	255	7995
31	256	7773
32	258	7564
33	259	7369
34	261	7213
35	263	7048
36	264	6889
37	265	6731
38	267	6582
39	268	6444
40	269	6311
41	271	6181
42	272	6057
43	273	5939
44	274	5829
45	276	5738
46	278	5646
47	279	5546
48	280	5449
49	282	5359
50	283	5272
51	284	5186
52	285	5104
53	286	5025
54	288	4949
55	289	4881
56	291	4819
57	292	4756
58	294	4689
59	295	4629
60	296	4566
61	297	4506
62	299	4449
63	300	4392
64	301	4336
65	302	4284
66	304	4242
67	306	4201
68	308	4158
69	309	4110
70	310	4063
71	311	4018
72	313	3974
73	314	3931
74	315	3889
75	316	3848
76	317	3808
77	318	3769
78	320	3742
79	323	3714
80	324	3681
81	325	3646
82	326	3605
83	327	3572
84	328	3538
85	329	3506
86	331	3475
87	332	3444
88	333	3415
89	335	3395
90	337	3373
91	338	3345
92	340	3318
93	341	3291
94	342	3263
95	343	3237
96	344	3211
97	346	3185
98	347	3160
99	348	3136
100	350	3121
101	352	3102
102	353	3081
103	355	3059
104	356	3037
105	357	3017
106	359	2999
107	360	2978
108	361	2956
109	362	2936
110	364	2919
111	366	2905
112	368	2889
113	369	2870
114	370	2851
115	371	2832
116	372	2812
117	373	2794
118	375	2776
119	376	2759
120	377	2742
121	378	2724
122	381	2717
123	382	2703
124	383	2687
125	385	2673
126	386	2657
127	387	2643
128	389	2628
129	390	2612
130	391	2597
131	392	2582
132	394	2570
133	396	2562
134	398	2550
135	399	2537
136	400	2524
137	401	2510
138	403	2498
139	404	2485
140	405	2472
141	406	2457
142	407	2443
143	409	2432
144	411	2425
145	413	2415
146	414	2403
147	415	2391
148	416	2379
149	417	2368
150	419	2356
151	420	2345
152	421	2335
153	422	2323
154	424	2315
155	426	2308
156	428	2299
157	429	2289
158	431	2279
159	432	2269
160	433	2256
161	434	2246
162	435	2235
163	436	2225
164	437	2215
165	440	2212
166	442	2204
167	443	2196
168	444	2187
169	446	2178
170	447	2170
171	449	2162
172	450	2152
173	451	2143
174	452	2134
175	454	2128
176	456	2121
177	457	2114
178	459	2105
179	460	2096
180	461	2087
181	462	2079
182	464	2072
183	465	2064
184	466	2056
185	468	2048
186	470	2044
187	471	2038
188	473	2030
189	474	2022
190	475	2015
191	477	2008
192	478	2000
193	479	1992
194	480	1984
195	482	1977
196	483	1970
197	485	1966
198	487	1960
199	488	1953
200	489	1946
201	491	1939
202	492	1932
203	493	1926
204	494	1919
205	496	1911
206	497	1904
207	498	1898
208	500	1894
209	502	1889
210	503	1883
211	504	1876
212	506	1870
213	507	1863
214	508	1856
215	509	1850
216	510	1843
217	512	1837
218	513	1830
219	516	1829
220	518	1825
221	519	1820
222	522	1819
223	523	1813
224	525	1809
225	526	1804
226	529	1802
227	530	1797
228	532	1792
229	533	1787
230	535	1781
231	536	1776
232	538	1771
233	539	1765
234	540	1760
235	542	1754
236	543	1750
237	545	1747
238	548	1745
239	549	1739
240	550	1735
241	552	1729
242	554	1727
243	557	1726
244	559	1725
245	562	1722
246	563	1718
247	565	1714
248	566	1709
249	568	1704
250	569	1698
251	570	1694
252	572	1690
253	574	1688
254	576	1684
255	578	1680
256	579	1675
257	581	1671
258	583	1668
259	584	1663
260	585	1658
261	587	1653
262	588	1649
263	590	1646
264	592	1643
265	593	1639
266	595	1634
267	596	1630
268	598	1625
269	599	1620
270	600	1616
271	601	1611
272	603	1607
273	605	1604
274	607	1600
275	608	1596
276	610	1592
277	611	1588
278	613	1584
279	614	1579
280	615	1575
281	616	1570
282	618	1567
283	620	1564
284	622	1561
285	623	1557
286	625	1552
287	626	1548
288	628	1546
289	629	1542
290	631	1537
291	632	1533
292	634	1531
293	636	1528
294	638	1524
295	639	1520
296	640	1516
297	642	1513
298	643	1509
299	644	1504
300	646	1501
301	647	1496
302	649	1495
303	651	1491
304	652	1487
305	654	1484
306	655	1480
307	657	1476
308	658	1473
309	659	1468
310	661	1464
311	662	1460
312	665	1460
313	666	1457
314	668	1453
315	669	1449
316	671	1446
317	672	1442
318	674	1438
319	675	1434
320	676	1430
321	677	1426
322	679	1424
323	681	1421
324	682	1418
325	684	1414
326	685	1410
327	686	1406
328	687	1402
329	689	1398
330	690	1395
331	691	1391
332	692	1387
333	694	1385
334	696	1382
335	697	1378
336	698	1374
337	700	1371
338	701	1367
339	702	1363
340	703	1359
341	704	1356
342	706	1352
343	708	1350
344	709	1347
345	711	1345
346	713	1341
347	714	1338
348	715	1334
349	717	1332
350	718	1328
351	719	1324
352	720	1321
353	721	1317
354	723	1315
355	725	1312
356	726	1309
357	728	1305
358	729	1302
359	730	1298
360	731	1295
361	733	1291
362	734	1288
363	735	1285
364	736	1282
365	738	1280
366	740	1277
367	742	1274
368	743	1271
369	744	1268
370	745	1264
371	747	1261
372	748	1258
373	749	1254
374	750	1251
375	752	1248
376	754	1246
377	756	1244
378	757	1240
379	758	1237
380	759	1234
381	760	1231
382	762	1227
383	763	1224
384	764	1221
385	765	1218
386	766	1214
387	769	1213
388	770	1210
389	772	1207
390	773	1204
391	774	1201
392	776	1198
393	777	1195
394	778	1192
395	779	1189
396	780	1186
397	782	1182
398	784	1181
399	786	1179
400	787	1176
401	788	1172
402	789	1170
403	791	1166
404	792	1163
405	793	1160
406	794	1157
407	795	1154
408	796	1151
409	799	1150
410	801	1148
411	802	1145
412	803	1142
413	805	1139
414	806	1136
415	807	1134
416	809	1131
417	810	1128
418	811	1125
419	812	1122
420	814	1120
421	816	1118
422	817	1115
423	819	1112
424	820	1110
425	822	1107
426	823	1104
427	824	1102
428	826	1099
429	827	1096
430	829	1094
431	830	1092
432	832	1089
433	833	1086
434	834	1084
435	836	1081
436	837	1078
437	838	1075
438	839	1073
439	840	1070
440	841	1067
441	844	1065
442	846	1064
443	847	1061
444	848	1058
445	850	1055
446	851	1053
447	852	1050
448	853	1047
449	855	1045
450	856	1042
451	857	1039
452	859	1038
453	861	1036
454	862	1033
455	864	1030
456	865	1028
457	866	1025
458	867	1022
459	868	1019
460	869	1017
461	871	1014
